row_type,model,variable,lead,tcc_weighted,sample_tcc,sample_id,sample_lat,sample_lon,n_target_weeks,time_start,time_end,grid,sample_grid,sample_seed,sample_size,sample_valid_count,sample_mean,sample_std,tcc_definition,sample_definition
sample,CAS-Canglong,all,1,0.4148821248809548,0.22830589301884174,31.0,-75.0,335.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.51064632833004,32.0,82.5,57.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.3806760162115097,33.0,35.0,130.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.5913595259189606,34.0,-65.0,247.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.3137165531516075,35.0,-47.5,352.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.3704088032245636,36.0,-15.0,135.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.4576962739229202,37.0,-25.0,227.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.42958299815654755,38.0,-40.0,340.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.40928733348846436,39.0,-82.5,100.0,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.40891920030117035,40.0,-35.0,297.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
sample,CAS-Canglong,all,1,0.4148821248809548,0.5038580596446991,41.0,35.0,87.5,254,2017-02-12,2021-12-24,121x240 1.5deg,73x144 regular 2.5deg,20260310,50,50,0.428404537178576,0.08771022442242589,"gridpoint anomaly TCC, then cosine-lat weighted spatial mean",Per-sample mean across tp and t2m on the fixed 2.5-degree random sample set; summary row added for plotting convenience
